State,Rural interstates (mph),Urban interstates (mph),Other limited access roads (mph),Other roads (mph),avg
Alabama,70,65,65,65,66.25
Alaska,65,55,65,55,60
Arizona,75,65,65,65,67.5
Arkansas,75,65,75,65,70
Colorado,75,65,65,65,67.5
Connecticut,65,55,65,55,60
California,70,65,70,65,67.5
Delaware,65,55,65,55,60
Florida,70,65,70,65,67.5
Hawaii,60,60,55,45,55
Georgia,70,70,65,65,70
Idaho,80,80,70,70,75
Illinois,70,55,65,55,61.25
Indiana,70,55,60,55,60
Iowa,70,55,70,65,65
Kansas,75,75,75,65,72.5
Kentucky,70,65,65,55,63.75
Louisiana,75,70,70,65,70
Maryland,70,70,70,55,66.25
Massachusetts,65,65,65,55,62.5
Michigan,75,70,70,55,67.5
Minnesota,70,65,65,60,65
Maine,75,75,75,60,71.25
Mississippi,70,70,70,65,68.75
Missouri,70,60,70,65,66.25
Montana,80,65,70,70,71.25
Nebraska,75,70,70,65,70
Nevada,80,65,70,70,71.25
New Hampshire,70,65,55,55,61.25
New Jersey,65,55,65,55,60
New Mexico,75,75,65,55,67.5
New York,65,65,65,55,62.5
North Carolina,70,70,70,55,66.25
North Dakota,75,75,70,65,71.25
Ohio,70,65,70,55,65
Oklahoma,80,70,70,70,72.5
Oregon,70,55,65,65,63.75
Pennsylvania,70,70,70,55,66.25
Rhode Island,65,55,55,55,57.5
South Carolina,70,70,60,55,63.75
South Dakota,80,80,70,70,75
Tennessee,70,70,70,65,68.75
Texas,80,75,75,75,76.25
Utah,80,65,75,65,71.25
Vermont,65,55,50,50,55
Virginia,70,70,65,55,65
Washington,75,60,60,60,63.75
West Virginia,70,55,65,55,61.25
Wisconsin,70,70,70,55,66.25
Wyoming,80,80,70,70,75
